證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,4031551.0,475242643.0,118.25,118.45,117.55,117.55,-0.25,9465.0
0051,元大中型100,38040.0,2188194.0,57.75,57.75,57.4,57.4,-0.35,167.0
0052,富邦科技,99426.0,9998465.0,101.3,101.3,100.35,100.35,-0.3,265.0
0053,元大電子,4923.0,288649.0,58.7,59.0,58.7,58.7,0.05,878.0
0055,元大MSCI金融,255730.0,5811478.0,22.63,22.76,22.61,22.67,0.04,206.0
0056,元大高股息,13333884.0,379255804.0,28.54,28.57,28.38,28.4,-0.14,12370.0
0057,富邦摩台,2989.0,254320.0,85.55,85.55,85.4,85.4,-0.05,990.0
0061,元大寶滬深,64477.0,1225630.0,19.03,19.08,18.97,19.04,0.02,399.0
006203,元大MSCI台灣,1561.0,88518.0,56.85,56.85,56.85,56.85,-0.15,218.0
006204,永豐臺灣加權,22531.0,1765095.0,78.5,78.5,78.35,78.35,-0.55,943.0
006205,富邦上証,1738791.0,55759373.0,32.4,32.4,32.0,32.03,-0.15,172.0
006206,元大上證50,30561.0,927540.0,30.45,30.45,30.32,30.35,-0.18,571.0
006207,復華滬深,3076.0,75895.0,24.97,24.97,24.97,24.97,-0.05,924.0
006208,富邦台50,2182297.0,148725028.0,68.4,68.5,68.0,68.0,-0.3,6275.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,3239243.0,366041508.0,114.05,114.15,112.15,112.15,-1.15,2660.0
00632R,元大台灣50反1,98695748.0,523417262.0,5.27,5.32,5.26,5.32,0.04,4208.0
00633L,富邦上証正2,2381040.0,92667355.0,38.82,39.26,38.69,38.75,-0.07,691.0
00634R,富邦上証反1,46000.0,203170.0,4.41,4.44,4.41,4.44,0.02,7.0
00635U,期元大S&P黃金,209619.0,5376460.0,25.7,25.7,25.61,25.63,0.03,145.0
00636,國泰中國A50,407816.0,8797050.0,21.59,21.68,21.53,21.56,-0.12,177.0
00636K,國泰中國A50+U,200.0,1404.0,7.02,7.02,7.02,7.02,-0.01,2.0
00637L,元大滬深300正2,33065598.0,507593890.0,15.31,15.48,15.26,15.28,-0.04,4098.0
00638R,元大滬深300反1,65030.0,607500.0,9.34,9.37,9.31,9.37,0.02,23.0
00639,富邦深100,1374933.0,17208893.0,12.48,12.53,12.48,12.52,0.06,833.0
00640L,富邦日本正2,134091.0,4405719.0,32.94,32.94,32.79,32.82,-0.2,36.0
00641R,富邦日本反1,178010.0,1579403.0,8.85,8.89,8.85,8.86,0.01,62.0
00642U,期元大S&P石油,3773112.0,58142367.0,15.4,15.47,15.36,15.46,0.0,1058.0
00643,群益深証中小,172000.0,2498350.0,14.45,14.56,14.45,14.5,-0.02,23.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,168647.0,4725407.0,28.07,28.07,28.0,28.02,-0.08,906.0
00646,元大S&P500,359758.0,14167921.0,39.38,39.41,39.35,39.39,0.19,394.0
00647L,元大S&P500正2,136282.0,7639681.0,56.15,56.15,56.0,56.05,0.6,48.0
00648R,元大S&P500反1,4846490.0,34204269.0,7.04,7.06,7.04,7.06,-0.03,141.0
00650L,復華香港正2,6027049.0,78434169.0,13.08,13.19,12.86,12.89,-0.09,983.0
00651R,復華香港反1,131010.0,1102034.0,8.4,8.47,8.39,8.47,0.05,17.0
00652,富邦印度,410255.0,12312551.0,30.0,30.06,30.0,30.04,0.14,272.0
00653L,富邦印度正2,697943.0,30923264.0,44.32,44.52,44.12,44.32,0.34,161.0
00654R,富邦印度反1,187009.0,1471141.0,7.86,7.89,7.85,7.87,-0.03,26.0
00655L,國泰中國A50正2,1515500.0,41603623.0,27.39,27.68,27.27,27.32,-0.07,349.0
00656R,國泰中國A50反1,342000.0,2853260.0,8.34,8.35,8.31,8.35,0.01,13.0
00657,國泰日經225,103000.0,3589530.0,34.8,34.9,34.8,34.9,0.07,5.0
00657K,國泰日經225+U,200.0,2266.0,11.33,11.33,11.33,11.33,0.0,2.0
00660,元大歐洲50,2903.0,91313.0,31.6,31.72,31.6,31.72,-0.13,905.0
00661,元大日經225,3001.0,111717.0,37.32,37.32,37.18,37.18,-0.06,3.0
00662,富邦NASDAQ,579823.0,30582202.0,52.6,52.85,52.6,52.8,0.6,537.0
00663L,國泰臺灣加權正2,12000.0,1251600.0,105.4,105.4,103.6,103.6,-1.55,4.0
00664R,國泰臺灣加權反1,7388851.0,44229059.0,5.93,6.01,5.93,6.01,0.05,391.0
00665L,富邦恒生國企正2,25757161.0,206468262.0,8.09,8.14,7.92,7.92,-0.1,2386.0
00666R,富邦恒生國企反1,113000.0,1663610.0,14.65,14.82,14.64,14.82,0.08,12.0
00668,國泰美國道瓊,76684.0,2866050.0,37.37,37.43,37.37,37.43,-0.04,455.0
00668K,國泰美國道瓊+U,200.0,2434.0,12.17,12.17,12.17,12.17,-0.02,2.0
00669R,國泰美國道瓊反1,3425050.0,27349089.0,7.98,8.0,7.97,8.0,0.01,166.0
00670L,富邦NASDAQ正2,2012812.0,138676945.0,68.85,69.0,68.8,68.85,1.55,914.0
00671R,富邦NASDAQ反1,16146221.0,87958158.0,5.45,5.45,5.44,5.45,-0.06,878.0
00673R,期元大S&P原油反1,12140739.0,110433185.0,9.09,9.12,9.06,9.08,0.0,603.0
00674R,期元大S&P黃金反1,1449243.0,16971992.0,11.71,11.73,11.7,11.72,-0.02,201.0
00675L,富邦臺灣加權正2,591305.0,26966902.0,46.15,46.15,45.33,45.33,-0.55,705.0
00676R,富邦臺灣加權反1,5658590.0,18673185.0,3.28,3.31,3.27,3.31,0.02,222.0
00678,群益NBI生技,335117.0,8782348.0,26.15,26.21,26.15,26.21,0.06,626.0
00680L,元大美債20正2,16997401.0,198021293.0,11.65,11.68,11.62,11.64,0.13,2389.0
00681R,元大美債20反1,281021.0,5077768.0,18.08,18.1,18.05,18.09,-0.1,21.0
00682U,期元大美元指數,203080.0,4100395.0,20.17,20.21,20.17,20.21,-0.01,23.0
00683L,期元大美元指正2,214037.0,4465009.0,20.85,20.91,20.81,20.9,-0.01,77.0
00684R,期元大美元指反1,1000.0,16240.0,16.24,16.24,16.24,16.24,0.05,1.0
00685L,群益臺灣加權正2,161550.0,6510710.0,40.78,40.85,40.18,40.18,-0.46,65.0
00686R,群益臺灣加權反1,793000.0,2822520.0,3.55,3.58,3.55,3.58,0.02,23.0
