證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,7527505.0,889553151.0,118.95,119.05,117.85,118.1,-0.85,12258.0
0051,元大中型100,54091.0,3004569.0,55.3,55.75,55.3,55.6,0.2,161.0
0052,富邦科技,182010.0,19229478.0,106.1,106.15,105.4,105.65,-0.6,301.0
0053,元大電子,14110.0,831554.0,58.85,59.05,58.85,58.95,0.0,1010.0
0055,元大MSCI金融,258280.0,5500399.0,21.44,21.44,21.21,21.26,-0.14,479.0
0056,元大高股息,17688222.0,490687081.0,27.77,27.81,27.7,27.76,0.0,11992.0
0057,富邦摩台,3041.0,260216.0,86.0,86.0,85.7,85.7,-0.25,1001.0
0061,元大寶滬深,125141.0,2364495.0,19.05,19.05,18.85,18.85,-0.24,801.0
006203,元大MSCI台灣,4037.0,229279.0,57.25,57.25,56.9,56.9,-0.35,975.0
006204,永豐臺灣加權,24565.0,1901955.0,77.75,77.75,77.3,77.45,-0.05,989.0
006205,富邦上証,1026385.0,32484474.0,31.89,32.02,31.54,31.55,-0.47,369.0
006206,元大上證50,548521.0,16460187.0,30.14,30.15,29.95,30.01,-0.57,1249.0
006207,FH滬深,18216.0,450628.0,24.88,24.88,24.64,24.66,-0.39,14.0
006208,富邦台50,3175888.0,217134291.0,68.65,68.7,68.15,68.2,-0.35,5255.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2362161.0,261187686.0,111.3,111.3,110.0,110.15,-0.85,1465.0
00632R,元大台灣50反1,114520792.0,615297305.0,5.35,5.39,5.35,5.38,0.01,4008.0
00633L,富邦上証正2,9210278.0,346095643.0,37.74,37.96,37.29,37.29,-0.97,2609.0
00634R,富邦上証反1,494001.0,2232435.0,4.48,4.54,4.48,4.53,0.05,43.0
00635U,期元大S&P黃金,2354494.0,59014132.0,25.04,25.13,25.01,25.12,0.58,856.0
00636,國泰中國A50,1701472.0,36123323.0,21.31,21.37,21.12,21.15,-0.34,1025.0
00636K,國泰中國A50+U,200.0,1386.0,6.93,6.93,6.93,6.93,-0.14,2.0
00637L,元大滬深300正2,95315943.0,1411946469.0,14.88,14.96,14.68,14.68,-0.39,12558.0
00638R,元大滬深300反1,1271000.0,12159790.0,9.51,9.6,9.51,9.59,0.11,56.0
00639,富邦深100,956393.0,12101472.0,12.79,12.79,12.63,12.64,-0.12,1193.0
00640L,富邦日本正2,647024.0,18093448.0,28.35,28.35,27.71,27.81,-0.7,206.0
00641R,富邦日本反1,780250.0,7497439.0,9.56,9.67,9.56,9.65,0.14,103.0
00642U,期元大S&P石油,23122533.0,328121482.0,14.28,14.33,14.06,14.07,-0.59,6397.0
00643,群益深証中小,986491.0,14449468.0,14.65,14.69,14.56,14.66,-0.08,474.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,16486.0,425495.0,26.03,26.03,25.75,25.75,-0.29,829.0
00646,元大S&P500,1114364.0,41448360.0,37.34,37.35,37.11,37.15,-0.33,841.0
00647L,元大S&P500正2,359689.0,18290911.0,52.2,52.2,50.55,50.55,-1.25,179.0
00648R,元大S&P500反1,1856344.0,13725457.0,7.36,7.43,7.36,7.42,0.09,195.0
00650L,FH香港正2,18008803.0,223681051.0,12.77,12.79,12.15,12.16,-0.72,2922.0
00651R,FH香港反1,2762150.0,24030070.0,8.6,8.8,8.59,8.8,0.24,164.0
00652,富邦印度,382848.0,10676068.0,28.02,28.03,27.72,27.8,-0.21,365.0
00653L,富邦印度正2,576658.0,22391817.0,39.63,39.63,38.38,38.63,-0.63,281.0
00654R,富邦印度反1,608000.0,5136530.0,8.39,8.5,8.39,8.47,0.08,49.0
00655L,國泰中國A50正2,3150522.0,83591426.0,26.71,26.87,26.32,26.35,-0.68,921.0
00656R,國泰中國A50反1,169500.0,1449660.0,8.55,8.56,8.53,8.56,0.11,19.0
00657,國泰日經225,102000.0,3286420.0,32.24,32.24,32.18,32.18,-0.36,4.0
00657K,國泰日經225+U,200.0,2104.0,10.52,10.52,10.52,10.52,-0.05,2.0
00660,元大歐洲50,5006.0,147624.0,29.61,29.61,29.61,29.61,-0.62,995.0
00661,元大日經225,3155.0,108591.0,34.67,34.67,34.54,34.54,-0.29,975.0
00662,富邦NASDAQ,1427677.0,70535505.0,49.53,49.53,49.27,49.46,-0.15,559.0
00663L,國泰臺灣加權正2,3000.0,306600.0,102.1,102.25,102.1,102.25,-0.05,3.0
00664R,國泰臺灣加權反1,4906040.0,29783986.0,6.05,6.09,6.04,6.09,0.02,330.0
00665L,富邦恒生國企正2,35813092.0,276314650.0,7.87,7.93,7.56,7.58,-0.37,3488.0
00666R,富邦恒生國企反1,206000.0,3131220.0,14.94,15.28,14.94,15.27,0.34,59.0
00668,國泰美國道瓊,54861.0,1944325.0,35.51,35.51,35.34,35.34,-0.46,834.0
00668K,國泰美國道瓊+U,200.0,2314.0,11.57,11.57,11.57,11.57,-0.13,2.0
00669R,國泰美國道瓊反1,10386251.0,86593398.0,8.31,8.38,8.3,8.37,0.1,591.0
00670L,富邦NASDAQ正2,2509235.0,154751201.0,61.95,62.0,61.3,61.5,-0.7,825.0
00671R,富邦NASDAQ反1,8108969.0,46831585.0,5.76,5.8,5.76,5.79,0.04,539.0
00673R,期元大S&P原油反1,24996767.0,253586134.0,10.09,10.24,10.04,10.24,0.43,2147.0
00674R,期元大S&P黃金反1,3280989.0,39407545.0,12.01,12.04,11.98,12.0,-0.27,576.0
00675L,富邦臺灣加權正2,548102.0,24384873.0,44.73,44.75,44.26,44.42,-0.16,390.0
00676R,富邦臺灣加權反1,6290730.0,20965465.0,3.32,3.35,3.32,3.33,0.0,323.0
00678,群益NBI生技,348596.0,8623241.0,24.75,24.75,24.71,24.74,-0.22,728.0
00680L,元大美債20正2,18177506.0,223623117.0,12.13,12.41,12.11,12.37,0.27,2465.0
00681R,元大美債20反1,169000.0,2991670.0,17.76,17.82,17.64,17.64,-0.19,61.0
