證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,12550223.0,1533549326.0,122.3,122.65,121.8,122.2,-0.1,9154.0
0051,元大中型100,42978.0,2568289.0,59.95,60.0,59.6,59.8,0.25,166.0
0052,富邦科技,200337.0,21109381.0,105.5,105.6,105.0,105.4,-0.1,334.0
0053,元大電子,5521.0,335391.0,61.0,61.05,60.7,60.7,-0.35,969.0
0055,元大MSCI金融,238829.0,5562957.0,23.29,23.39,23.22,23.25,0.0,258.0
0056,元大高股息,19031332.0,558697434.0,29.37,29.44,29.24,29.37,0.02,9567.0
0057,富邦摩台,5189.0,459196.0,88.3,88.7,88.3,88.55,0.0,10.0
0061,元大寶滬深,100328.0,1855775.0,18.6,18.6,18.43,18.5,-0.01,395.0
006203,元大MSCI台灣,5662.0,333444.0,59.0,59.1,59.0,59.1,0.1,780.0
006204,永豐臺灣加權,27781.0,2276862.0,82.0,82.2,81.85,82.0,0.05,989.0
006205,富邦上証,2233791.0,69499133.0,31.47,31.48,31.02,31.06,-0.25,351.0
006206,元大上證50,109646.0,3235597.0,29.65,29.65,29.45,29.45,-0.29,459.0
006207,復華滬深,202100.0,4917608.0,24.56,24.56,24.28,24.28,-0.18,31.0
006208,富邦台50,3329172.0,234972356.0,70.65,70.85,70.35,70.65,0.0,4235.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2628786.0,320602838.0,121.85,122.9,121.2,122.1,0.3,1509.0
00632R,元大台灣50反1,69443393.0,353794818.0,5.09,5.12,5.07,5.1,0.01,4602.0
00633L,富邦上証正2,8010503.0,304068369.0,38.35,38.47,37.52,37.52,-0.74,2136.0
00634R,富邦上証反1,75000.0,336210.0,4.46,4.5,4.45,4.5,0.03,13.0
00635U,期元大S&P黃金,367126.0,9086527.0,24.8,24.81,24.72,24.74,-0.17,212.0
00636,國泰中國A50,509607.0,10705814.0,21.23,21.23,20.95,20.96,-0.24,852.0
00636K,國泰中國A50+U,200.0,1370.0,6.85,6.85,6.85,6.85,-0.05,2.0
00637L,元大滬深300正2,69923610.0,1043762922.0,15.1,15.16,14.8,14.8,-0.27,8655.0
00638R,元大滬深300反1,326000.0,3083980.0,9.42,9.5,9.4,9.5,0.09,37.0
00639,富邦深100,978743.0,11968537.0,12.33,12.33,12.2,12.2,-0.05,596.0
00640L,富邦日本正2,2134767.0,76991117.0,36.28,36.36,35.3,35.45,-0.43,401.0
00641R,富邦日本反1,1887000.0,16044650.0,8.47,8.58,8.44,8.58,0.07,229.0
00642U,期元大S&P石油,4803314.0,73435548.0,15.25,15.33,15.25,15.26,0.2,1188.0
00643,群益深証中小,241239.0,3425695.0,14.27,14.27,14.17,14.2,-0.02,196.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,1031666.0,30461021.0,29.53,29.6,29.17,29.22,-0.14,390.0
00646,元大S&P500,2944851.0,117843618.0,39.94,40.11,39.92,40.07,0.24,1215.0
00647L,元大S&P500正2,74410.0,4280402.0,57.5,57.8,57.35,57.4,0.15,49.0
00648R,元大S&P500反1,2900150.0,20157328.0,6.95,6.97,6.94,6.97,-0.02,763.0
00650L,復華香港正2,8735023.0,112684770.0,13.04,13.07,12.76,12.8,-0.17,1013.0
00651R,復華香港反1,974065.0,8231277.0,8.43,8.49,8.41,8.49,0.06,50.0
00652,富邦印度,317584.0,9511095.0,29.91,29.99,29.9,29.98,0.12,869.0
00653L,富邦印度正2,641213.0,28474918.0,44.2,44.55,44.2,44.54,0.49,175.0
00654R,富邦印度反1,113000.0,886800.0,7.85,7.86,7.84,7.84,-0.01,21.0
00655L,國泰中國A50正2,2761200.0,73666281.0,27.01,27.12,26.44,26.46,-0.55,865.0
00656R,國泰中國A50反1,314000.0,2641910.0,8.37,8.47,8.37,8.47,0.09,7.0
00657,國泰日經225,163960.0,6068271.0,37.25,37.34,36.82,36.82,-0.03,1001.0
00657K,國泰日經225+U,200.0,2394.0,11.97,11.97,11.97,11.97,-0.01,2.0
00660,元大歐洲50,82342.0,2623357.0,32.11,32.11,31.83,31.84,0.01,664.0
00661,元大日經225,127558.0,5088901.0,39.8,40.11,39.49,39.55,0.06,1011.0
00662,富邦NASDAQ,6741901.0,368356125.0,54.7,54.9,54.55,54.6,0.15,1022.0
00663L,國泰臺灣加權正2,12000.0,1355700.0,112.9,113.25,112.9,113.05,0.15,6.0
00664R,國泰臺灣加權反1,4819807.0,27637608.0,5.74,5.77,5.71,5.74,-0.01,274.0
00665L,富邦恒生國企正2,28523008.0,228181758.0,8.09,8.13,7.9,7.91,-0.14,2791.0
00666R,富邦恒生國企反1,67000.0,989240.0,14.65,14.8,14.65,14.8,0.1,8.0
00668,國泰美國道瓊,59115.0,2200534.0,37.19,37.22,37.17,37.17,-0.05,801.0
00668K,國泰美國道瓊+U,200.0,2420.0,12.1,12.1,12.1,12.1,-0.04,2.0
00669R,國泰美國道瓊反1,10595234.0,84914169.0,8.01,8.03,8.0,8.03,0.04,714.0
00670L,富邦NASDAQ正2,1089792.0,80919538.0,74.15,74.55,74.0,74.15,0.6,512.0
00671R,富邦NASDAQ反1,10715420.0,56138179.0,5.24,5.25,5.22,5.24,-0.03,773.0
00673R,期元大S&P原油反1,10813571.0,98986704.0,9.17,9.19,9.13,9.18,-0.13,900.0
00674R,期元大S&P黃金反1,1290000.0,15655490.0,12.11,12.16,12.11,12.15,0.07,208.0
