證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,5572977.0,655524087.0,117.45,118.0,117.1,117.7,0.3,9964.0
0051,元大中型100,30431.0,1756834.0,57.5,57.9,57.45,57.9,0.5,135.0
0052,富邦科技,177041.0,17809427.0,100.35,101.0,100.0,100.7,0.4,299.0
0053,元大電子,9104.0,533035.0,58.55,58.75,58.5,58.75,0.3,8.0
0055,元大MSCI金融,104235.0,2331898.0,22.32,22.4,22.32,22.39,0.08,251.0
0056,元大高股息,14076807.0,399222255.0,28.25,28.44,28.2,28.44,0.21,8898.0
0057,富邦摩台,1034.0,88272.0,85.35,85.35,85.35,85.35,0.2,4.0
0061,元大寶滬深,69799.0,1333134.0,19.1,19.23,19.07,19.1,0.0,516.0
006203,元大MSCI台灣,4354.0,246707.0,56.8,56.95,56.8,56.8,0.0,993.0
006204,永豐臺灣加權,25496.0,2004828.0,78.25,78.75,78.25,78.7,0.45,1007.0
006205,富邦上証,1682273.0,54021696.0,32.16,32.3,32.02,32.15,0.02,165.0
006206,元大上證50,77822.0,2361778.0,30.6,30.64,30.33,30.34,-0.08,838.0
006207,復華滬深,335360.0,8462460.0,25.16,25.27,25.16,25.21,0.05,34.0
006208,富邦台50,3498125.0,238058847.0,68.0,68.25,67.75,68.05,0.1,5237.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2814247.0,319366605.0,113.05,114.15,112.55,113.75,0.9,1697.0
00632R,元大台灣50反1,94564181.0,499984419.0,5.3,5.31,5.27,5.28,-0.03,4577.0
00633L,富邦上証正2,4641270.0,180392542.0,38.9,39.43,38.46,38.82,0.08,1234.0
00634R,富邦上証反1,605000.0,2677540.0,4.41,4.45,4.41,4.44,-0.01,17.0
00635U,期元大S&P黃金,559757.0,14042437.0,25.08,25.11,25.06,25.09,-0.04,183.0
00636,國泰中國A50,1098517.0,23724392.0,21.6,21.77,21.51,21.61,0.01,1246.0
00636K,國泰中國A50+U,200.0,1404.0,7.02,7.02,7.02,7.02,-0.04,2.0
00637L,元大滬深300正2,42171716.0,645655885.0,15.34,15.54,15.17,15.3,0.02,5351.0
00638R,元大滬深300反1,360000.0,3380320.0,9.37,9.43,9.32,9.39,0.02,22.0
00639,富邦深100,997741.0,12645836.0,12.75,12.78,12.65,12.69,-0.02,655.0
00640L,富邦日本正2,444079.0,14497975.0,32.56,32.79,32.5,32.7,0.73,103.0
00641R,富邦日本反1,2136000.0,19076280.0,8.95,8.96,8.91,8.92,-0.11,387.0
00642U,期元大S&P石油,3055978.0,48965549.0,16.03,16.05,16.0,16.03,0.13,835.0
00643,群益深証中小,565883.0,8372705.0,14.8,14.85,14.74,14.77,0.0,913.0
00643K,群益深証中小+R,,,,,,,0.0,
