證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8412015.0,1064911699.0,125.8,127.0,125.8,126.75,1.6,8688.0
0051,元大中型100,172697.0,10880130.0,62.0,63.4,62.0,63.05,1.05,249.0
0052,富邦科技,285387.0,31812941.0,110.7,111.95,110.7,111.7,1.7,471.0
0053,元大電子,10295.0,662701.0,63.85,64.9,63.85,64.9,1.25,938.0
0055,元大MSCI金融,192747.0,4430817.0,22.93,23.02,22.93,22.99,0.06,247.0
0056,元大高股息,46006587.0,1423757213.0,30.6,31.14,30.6,30.93,0.46,21625.0
0057,富邦摩台,31998.0,2936602.0,91.6,91.95,91.6,91.7,0.95,1002.0
0061,元大寶滬深,165080.0,2963132.0,17.94,18.05,17.84,17.98,0.04,746.0
006203,元大MSCI台灣,13803.0,843512.0,61.05,61.3,61.0,61.3,0.85,979.0
006204,永豐臺灣加權,31866.0,2702074.0,84.25,85.1,84.25,84.85,1.0,1024.0
006205,富邦上証,1264565.0,37897145.0,29.93,30.08,29.74,29.99,0.2,271.0
006206,元大上證50,127158.0,3571096.0,28.0,28.33,27.97,28.3,0.33,689.0
006207,復華滬深,145000.0,3435900.0,23.51,23.74,23.51,23.68,0.17,19.0
006208,富邦台50,3117170.0,227651039.0,72.7,73.25,72.65,73.1,0.9,3557.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,2792028.0,362979902.0,129.05,131.3,128.9,130.8,3.35,2018.0
00632R,元大台灣50反1,240761974.0,1184108995.0,4.95,4.95,4.9,4.91,-0.07,11852.0
00633L,富邦上証正2,5577522.0,194383551.0,34.48,35.18,34.36,34.94,0.62,1601.0
00634R,富邦上証反1,375258.0,1742530.0,4.68,4.69,4.63,4.65,-0.05,49.0
00635U,期元大S&P黃金,738944.0,18359872.0,24.83,24.92,24.81,24.86,0.13,191.0
00636,國泰中國A50,823558.0,16571760.0,19.94,20.22,19.94,20.16,0.22,682.0
00636K,國泰中國A50+U,200.0,1318.0,6.59,6.59,6.59,6.59,0.1,2.0
00637L,元大滬深300正2,65670095.0,900497297.0,13.58,13.86,13.55,13.76,0.22,7509.0
00638R,元大滬深300反1,10483058.0,102755677.0,9.86,9.87,9.74,9.77,-0.11,154.0
00639,富邦深100,1015311.0,11944414.0,11.7,11.84,11.68,11.81,0.11,525.0
00640L,富邦日本正2,966196.0,34591723.0,35.54,36.02,35.54,36.02,1.0,288.0
00641R,富邦日本反1,2108417.0,17863428.0,8.5,8.51,8.43,8.46,-0.13,282.0
00642U,期元大S&P石油,10637895.0,157854225.0,14.81,14.9,14.8,14.87,0.39,2429.0
00643,群益深証中小,428099.0,5895891.0,13.81,13.94,13.73,13.93,0.13,666.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,707008.0,20791100.0,29.26,29.52,29.26,29.52,0.36,604.0
00646,元大S&P500,2793246.0,112492306.0,40.11,40.35,40.11,40.34,0.42,999.0
00647L,元大S&P500正2,159398.0,9243692.0,57.95,58.1,57.85,58.05,1.0,64.0
00648R,元大S&P500反1,2504185.0,17305480.0,6.92,6.92,6.9,6.91,-0.08,265.0
00650L,復華香港正2,12573821.0,147159659.0,11.45,11.89,11.44,11.84,0.51,2041.0
00651R,復華香港反1,857162.0,7553313.0,8.83,8.94,8.74,8.78,-0.2,128.0
00652,富邦印度,161855.0,4907720.0,30.33,30.37,30.21,30.27,-0.03,1014.0
00653L,富邦印度正2,259111.0,11647178.0,45.03,45.11,44.67,44.94,-0.14,124.0
00654R,富邦印度反1,104000.0,810300.0,7.82,7.82,7.78,7.8,0.0,30.0
00655L,國泰中國A50正2,3451379.0,84587864.0,24.29,24.76,24.18,24.61,0.5,757.0
00656R,國泰中國A50反1,480000.0,4214070.0,8.81,8.84,8.72,8.74,-0.1,27.0
00657,國泰日經225,119006.0,4433393.0,37.18,37.36,37.17,37.36,0.39,972.0
00657K,國泰日經225+U,200.0,2434.0,12.17,12.17,12.17,12.17,0.15,2.0
00660,元大歐洲50,248337.0,7663808.0,31.0,31.0,30.79,30.98,0.02,717.0
00661,元大日經225,262862.0,10534778.0,39.98,40.2,39.97,40.2,0.47,701.0
00662,富邦NASDAQ,1335906.0,76395644.0,57.05,57.3,57.0,57.3,0.85,683.0
00663L,國泰臺灣加權正2,2026.0,242884.0,119.35,120.4,119.35,120.4,2.65,5.0
00664R,國泰臺灣加權反1,9396039.0,52132333.0,5.58,5.58,5.52,5.54,-0.07,710.0
00665L,富邦恒生國企正2,48957999.0,349461726.0,7.0,7.28,6.95,7.21,0.29,4143.0
00666R,富邦恒生國企反1,394000.0,6091130.0,15.66,15.7,15.29,15.35,-0.44,164.0
00668,國泰美國道瓊,511269.0,18867723.0,36.96,36.96,36.85,36.93,0.16,392.0
00668K,國泰美國道瓊+U,200.0,2408.0,12.04,12.04,12.04,12.04,0.08,2.0
00669R,國泰美國道瓊反1,6007400.0,48507312.0,8.08,8.09,8.06,8.07,-0.07,219.0
00670L,富邦NASDAQ正2,2065103.0,165227229.0,79.75,80.25,79.75,80.2,2.3,955.0
00671R,富邦NASDAQ反1,11995281.0,60393397.0,5.04,5.04,5.03,5.04,-0.06,904.0
00673R,期元大S&P原油反1,10869627.0,101700298.0,9.4,9.4,9.32,9.35,-0.29,1158.0
00674R,期元大S&P黃金反1,2016115.0,24242744.0,12.07,12.07,12.0,12.03,-0.1,319.0
00675L,富邦臺灣加權正2,820150.0,43044848.0,52.0,53.0,52.0,52.75,1.35,624.0
00676R,富邦臺灣加權反1,8508077.0,26005659.0,3.08,3.08,3.04,3.06,-0.03,500.0
00678,群益NBI生技,328650.0,8268530.0,25.12,25.18,25.12,25.14,0.02,968.0
00680L,元大美債20正2,24506019.0,277572296.0,11.34,11.35,11.3,11.32,0.11,2382.0
00681R,元大美債20反1,278000.0,5092990.0,18.3,18.33,18.3,18.33,-0.14,29.0
00682U,期元大美元指數,109013.0,2248197.0,20.67,20.67,20.61,20.63,-0.15,35.0
00683L,期元大美元指正2,3851315.0,83616727.0,21.8,21.8,21.67,21.71,-0.35,439.0
00684R,期元大美元指反1,38000.0,603400.0,15.88,15.93,15.85,15.93,0.0,6.0
00685L,群益臺灣加權正2,100456.0,4674542.0,46.15,46.93,46.13,46.77,1.22,54.0
00686R,群益臺灣加權反1,1068100.0,3540477.0,3.33,3.33,3.29,3.31,-0.04,60.0
00688L,國泰20年美債正2,8067230.0,90596046.0,11.24,11.25,11.22,11.23,0.14,891.0
00689R,國泰20年美債反1,220000.0,4175490.0,18.98,18.98,18.97,18.97,-0.09,5.0
00690,兆豐藍籌30,1583927.0,42862613.0,27.02,27.13,27.0,27.07,0.1,815.0
00692,富邦公司治理,2450442.0,77440414.0,31.3,31.72,31.3,31.66,0.38,1571.0
00693U,期街口S&P黃豆,82496.0,1993034.0,24.16,24.2,24.14,24.19,0.27,43.0
00700,富邦恒生國企,54838.0,664461.0,11.93,12.21,11.92,12.14,0.3,938.0
00701,國泰股利精選30,1237292.0,30068991.0,24.17,24.38,24.17,24.28,0.16,893.0
00702,國泰標普低波高息,115319.0,2275684.0,19.72,19.74,19.72,19.74,-0.01,817.0
00703,台新MSCI中國,343340.0,5110001.0,14.58,14.93,14.58,14.9,0.36,48.0
00706L,期元大S&P日圓正2,4251293.0,37717799.0,8.86,8.9,8.84,8.86,0.06,699.0
00707R,期元大S&P日圓反1,41000.0,1030610.0,25.17,25.17,25.11,25.12,-0.14,11.0
00708L,期元大S&P黃金正2,1203396.0,33149849.0,27.49,27.67,27.45,27.58,0.39,357.0
00709,富邦歐洲,32200.0,790730.0,24.5,24.56,24.5,24.56,0.2,5.0
00710B,復華彭博非投等債,375518.0,6713942.0,17.9,17.91,17.83,17.9,-0.01,94.0
00711B,復華彭博新興債,39362.0,632364.0,16.09,16.09,16.05,16.07,0.0,749.0
00712,復華富時不動產,28442622.0,260430582.0,9.1,9.18,9.1,9.17,0.18,6461.0
00713,元大台灣高息低波,18784272.0,840971912.0,44.25,45.05,44.25,44.7,0.59,9564.0
00714,群益道瓊美國地產,275502.0,4892110.0,17.72,17.77,17.72,17.77,-0.03,203.0
00715L,期街口布蘭特正2,73845462.0,867151987.0,11.68,11.84,11.68,11.79,0.46,8924.0
00717,富邦美國特別股,255933.0,3671611.0,14.31,14.38,14.31,14.34,0.05,474.0
00728,第一金工業30,409625.0,9978975.0,24.23,24.41,24.23,24.36,0.18,261.0
00730,富邦臺灣優質高息,651337.0,12256368.0,18.75,18.88,18.75,18.82,0.18,601.0
00731,復華富時高息低波,1254307.0,76849409.0,60.45,61.45,60.45,61.15,0.85,337.0
00733,富邦臺灣中小,920243.0,41621803.0,44.68,45.58,44.56,44.66,0.48,783.0
00735,國泰臺韓科技,114381.0,3302352.0,28.59,28.9,28.59,28.9,0.49,12.0
00736,國泰新興市場,101000.0,1959440.0,19.4,19.44,19.4,19.44,0.28,3.0
00737,國泰AI+Robo,188766.0,5573965.0,29.44,29.59,29.44,29.58,0.31,607.0
00738U,期元大道瓊白銀,493046.0,11519775.0,23.33,23.47,23.28,23.38,0.4,144.0
00739,元大MSCI A股,30340.0,661949.0,21.8,21.98,21.79,21.98,0.19,852.0
00752,中信中國50,3795709.0,65380864.0,17.0,17.37,16.99,17.3,0.43,1063.0
00753L,中信中國50正2,21460507.0,192730134.0,8.85,9.12,8.78,9.04,0.36,3364.0
00757,統一FANG+,1568230.0,85514375.0,54.15,54.6,54.15,54.55,1.25,1374.0
00762,元大全球AI,462230.0,19466822.0,42.0,42.21,42.0,42.17,0.85,442.0
00763U,期街口道瓊銅,75014.0,1771320.0,23.55,23.75,23.45,23.68,0.24,37.0
00770,國泰北美科技,175654.0,5771693.0,32.71,32.9,32.71,32.9,0.51,503.0
00771,元大US高息特別股,56995.0,893112.0,15.67,15.7,15.66,15.68,0.0,674.0
00775B,新光投等債15+,50970.0,1691040.0,33.2,33.2,33.2,33.2,0.1,972.0
00783,富邦中証500,102685.0,2075118.0,20.07,20.27,20.06,20.26,0.11,8.0
