證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0050,元大台灣50,8154133.0,966494663.0,117.9,119.0,117.85,118.6,1.4,8206.0
0051,元大中型100,35051.0,2034086.0,57.6,58.2,57.6,58.05,0.7,125.0
0052,富邦科技,257045.0,26025363.0,100.9,101.75,100.7,101.55,1.65,374.0
0053,元大電子,5722.0,337341.0,58.85,59.25,58.85,59.1,0.85,644.0
0055,元大MSCI金融,200525.0,4544828.0,22.55,22.74,22.55,22.72,0.21,393.0
0056,元大高股息,21669927.0,620159835.0,28.43,28.71,28.43,28.65,0.23,10832.0
0057,富邦摩台,4935.0,422063.0,85.5,86.1,85.5,86.1,1.35,879.0
0061,元大寶滬深,41706.0,791253.0,18.95,19.03,18.9,19.0,0.05,406.0
006203,元大MSCI台灣,1641.0,93656.0,57.35,57.35,57.35,57.35,0.95,190.0
006204,永豐臺灣加權,23874.0,1889280.0,78.85,79.3,78.85,79.2,0.95,583.0
006205,富邦上証,1724891.0,55262881.0,31.99,32.22,31.93,32.03,0.25,469.0
006206,元大上證50,55953.0,1697482.0,29.9,30.52,29.9,30.36,0.51,288.0
006207,復華滬深,10942.0,272778.0,25.08,25.08,24.92,24.92,0.18,492.0
006208,富邦台50,3212187.0,220202625.0,68.2,68.8,68.2,68.6,0.8,3951.0
00625K,富邦上証+R,,,,,,,0.0,
00631L,元大台灣50正2,3364533.0,384287559.0,113.4,115.0,113.15,114.7,2.85,2127.0
00632R,元大台灣50反1,145435613.0,766544479.0,5.29,5.3,5.25,5.27,-0.05,6518.0
00633L,富邦上証正2,6156661.0,239312250.0,38.92,39.14,38.5,38.68,0.36,1269.0
00634R,富邦上証反1,339000.0,1495150.0,4.4,4.43,4.4,4.43,-0.04,13.0
00635U,期元大S&P黃金,86580.0,2199112.0,25.41,25.44,25.41,25.42,0.01,110.0
00636,國泰中國A50,1378750.0,29705016.0,21.62,21.66,21.5,21.56,0.11,1032.0
00636K,國泰中國A50+U,200.0,1396.0,6.98,6.98,6.98,6.98,0.1,2.0
00637L,元大滬深300正2,43298232.0,663330422.0,15.37,15.43,15.19,15.24,0.14,5976.0
00638R,元大滬深300反1,55000.0,515050.0,9.35,9.39,9.34,9.39,-0.05,16.0
00639,富邦深100,1732580.0,21691023.0,12.6,12.6,12.48,12.55,0.12,1003.0
00640L,富邦日本正2,476375.0,16321878.0,34.28,34.39,34.15,34.29,0.32,110.0
00641R,富邦日本反1,1332010.0,11597767.0,8.72,8.72,8.69,8.71,-0.05,262.0
00642U,期元大S&P石油,5906781.0,89330519.0,15.09,15.18,15.09,15.11,0.34,1749.0
00643,群益深証中小,208241.0,3021966.0,14.42,14.6,14.42,14.51,0.09,358.0
00643K,群益深証中小+R,,,,,,,0.0,
00645,富邦日本,143903.0,4120326.0,28.6,28.68,28.57,28.65,0.12,1065.0
00646,元大S&P500,563210.0,22178464.0,39.37,39.4,39.35,39.37,0.03,564.0
00647L,元大S&P500正2,140602.0,7835980.0,55.8,55.8,55.7,55.7,-0.05,42.0
00648R,元大S&P500反1,1020566.0,7217036.0,7.08,7.08,7.07,7.07,-0.02,74.0
00650L,復華香港正2,9704094.0,130793376.0,13.48,13.6,13.3,13.31,0.15,1189.0
00651R,復華香港反1,379060.0,3144409.0,8.29,8.34,8.24,8.32,-0.06,50.0
00652,富邦印度,356371.0,10763743.0,30.14,30.26,30.14,30.18,0.04,584.0
00653L,富邦印度正2,388455.0,17343480.0,44.65,44.8,44.5,44.53,0.0,137.0
00654R,富邦印度反1,133000.0,1042160.0,7.83,7.87,7.82,7.85,0.0,29.0
00655L,國泰中國A50正2,1994284.0,54537402.0,27.41,27.55,27.1,27.23,0.24,524.0
00656R,國泰中國A50反1,239000.0,1994210.0,8.33,8.38,8.33,8.37,-0.06,8.0
00657,國泰日經225,116776.0,4169207.0,35.71,35.72,35.69,35.69,0.34,587.0
